AQI,AQI.1,AQI.2,AQI.3
0.379425398,0.376138172,0.343134433,45.58982684
0.376138172,0.343134433,0.456543698,44.46640316
0.343134433,0.456543698,0.443986498,48.02489177
0.456543698,0.443986498,0.483761921,80.92283951
0.443986498,0.483761921,0.851482587,70.76851852
0.483761921,0.851482587,0.737981474,71.00805153
0.851482587,0.737981474,0.740658882,45.31926407
0.737981474,0.740658882,0.453519451,22.32142857
0.740658882,0.453519451,0.19645845,29.78543196
0.453519451,0.19645845,0.279888222,40.71969697
0.19645845,0.279888222,0.402107251,35.8495671
0.279888222,0.402107251,0.347670803,17.78656126
0.402107251,0.347670803,0.145769439,15.96320346
0.347670803,0.145769439,0.125388644,15.28679654
0.145769439,0.125388644,0.117828026,23.26839827
0.125388644,0.117828026,0.207043315,35.44372294
0.117828026,0.207043315,0.343134433,30.43831169
0.207043315,0.343134433,0.287185862,16.23376623
0.343134433,0.287185862,0.128412891,14.31523022
0.287185862,0.128412891,0.10696823,29.07961604
0.128412891,0.10696823,0.271998882,36.39069264
0.10696823,0.271998882,0.353719297,24.21536797
0.271998882,0.353719297,0.217628179,27.05627706
0.353719297,0.217628179,0.249382774,36.84359119
0.217628179,0.249382774,0.358781624,29.50310559
0.249382774,0.358781624,0.276732486,33.54978355
0.358781624,0.276732486,0.321964703,36.7965368
0.276732486,0.321964703,0.358255668,26.24458874
0.321964703,0.358255668,0.240310032,24.48593074
0.358255668,0.240310032,0.220652426,22.18614719
0.240310032,0.220652426,0.194946326,23.0095991
0.220652426,0.194946326,0.204150557,33.54978355
0.194946326,0.204150557,0.321964703,50.05411255
0.204150557,0.321964703,0.506443774,45.72510823
0.321964703,0.506443774,0.458055821,41.26082251
0.506443774,0.458055821,0.408155745,41.12554113
0.458055821,0.408155745,0.406643621,20.56277056
0.408155745,0.406643621,0.176800844,25.83874459
0.406643621,0.176800844,0.235773662,31.92640693
0.176800844,0.235773662,0.303819221,30.43831169
0.235773662,0.303819221,0.287185862,33.45567476
0.303819221,0.287185862,0.320912791,32.06168831
0.287185862,0.320912791,0.305331344,34.86730661
0.320912791,0.305331344,0.336691472,26.10930736
0.305331344,0.336691472,0.238797909,28.93845285
0.336691472,0.238797909,0.270421014,31.65584416
0.238797909,0.270421014,0.300794974,32.46753247
0.270421014,0.300794974,0.309867715,28.54437229
0.300794974,0.309867715,0.266016132,33.14393939
0.309867715,0.266016132,0.317428333,28.40909091
0.266016132,0.317428333,0.264504009,32.74985884
0.317428333,0.264504009,0.313023451,32.02479339
0.264504009,0.313023451,0.304918947,27.73268398
0.313023451,0.304918947,0.256943391,25.43290043
0.304918947,0.256943391,0.231237291,32.87337662
0.256943391,0.231237291,0.314404086,35.44372294
0.231237291,0.314404086,0.343134433,33.17334839
0.314404086,0.343134433,0.317757055,37.87878788
0.343134433,0.317757055,0.370352656,34.09090909
0.317757055,0.370352656,0.328013197,27.5974026
0.370352656,0.328013197,0.255431268,27.05627706
0.328013197,0.255431268,0.249382774,31.65584416
0.255431268,0.249382774,0.300794974,33.14393939
0.249382774,0.300794974,0.317428333,30.3030303
0.300794974,0.317428333,0.285673738,39.5021645
0.317428333,0.285673738,0.388498139,34.16149068
0.285673738,0.388498139,0.328802131,41.66666667
0.388498139,0.328802131,0.412692115,26.37987013
0.328802131,0.412692115,0.241822156,21.50974026
0.412692115,0.241822156,0.187385709,18.93939394
0.241822156,0.187385709,0.158655362,35.8495671
0.187385709,0.158655362,0.347670803,28.40909091
0.158655362,0.347670803,0.264504009,30.70887446
0.347670803,0.264504009,0.290210109,35.17316017
0.264504009,0.290210109,0.340110186,31.8772137
0.290210109,0.340110186,0.303269358,30.43831169
0.340110186,0.303269358,0.287185862,23.80952381
0.303269358,0.287185862,0.213091809,25.16233766
0.287185862,0.213091809,0.228213044,24.70355731
0.213091809,0.228213044,0.223084973,19.82228298
0.228213044,0.223084973,0.168523957,9.259259259
0.223084973,0.168523957,0.050454522,6.764069264
0.168523957,0.050454522,0.022564243,6.222943723
0.050454522,0.022564243,0.016515749,7.407407407
0.022564243,0.016515749,0.029755231,12.31060606
0.016515749,0.029755231,0.084561308,14.25748165
0.029755231,0.084561308,0.106322738,33.68506494
0.084561308,0.106322738,0.323476827,24.48593074
0.106322738,0.323476827,0.220652426,34.09090909
0.323476827,0.220652426,0.328013197,38.41991342
0.220652426,0.328013197,0.37640115,34.22619048
0.328013197,0.37640115,0.329525321,24.89177489
0.37640115,0.329525321,0.225188797,33.83458647
0.329525321,0.225188797,0.325148121,26.24458874
0.225188797,0.325148121,0.240310032,30.03246753
0.325148121,0.240310032,0.282649491,33.54978355
0.240310032,0.282649491,0.321964703,17.18073593
0.282649491,0.321964703,0.138997756,26.92099567
0.321964703,0.138997756,0.24787065,34.36147186
0.138997756,0.24787065,0.331037444,6.764069264
0.24787065,0.331037444,0.022564243,4.74537037
0.331037444,0.022564243,0,44.1017316
0.022564243,0,0.439910339,66.55555556
0,0.439910339,0.690890587,66.55555556
0.439910339,0.690890587,0.690890587,66.55555556
0.690890587,0.690890587,0.690890587,66.55555556
0.690890587,0.690890587,0.690890587,38.23953824
0.690890587,0.690890587,0.374384986,40.04329004
0.690890587,0.374384986,0.394546633,33.82034632
0.374384986,0.394546633,0.32498895,25.56818182
0.394546633,0.32498895,0.232749415,25.7034632
0.32498895,0.232749415,0.234261538,25.02705628
0.232749415,0.234261538,0.226700921,14.745671
0.234261538,0.226700921,0.111779532,31.47939018
0.226700921,0.111779532,0.298822639,49.78354978
0.111779532,0.298822639,0.503419527,58.02160494
0.298822639,0.503419527,0.595501354,52.83641975
0.503419527,0.595501354,0.537543339,49.78354978
0.595501354,0.537543339,0.503419527,51.32407407
0.537543339,0.503419527,0.520638918,57.37345679
0.503419527,0.520638918,0.588256602,63.25589226
0.520638918,0.588256602,0.654008214,80.34343434
0.588256602,0.654008214,0.845006218,67.38047138
0.654008214,0.845006218,0.70011118,63.96296296
0.845006218,0.70011118,0.66191158,57.2654321
0.70011118,0.66191158,0.587049144,37.74350649
0.66191158,0.587049144,0.368840533,28.24074074
