wind_direct,temperature,rain,humidity,wind_speed,AQI,wind_direct.1,temperature.1,rain.1,humidity.1,wind_speed.1,AQI.1,wind_direct.2,temperature.2,rain.2,humidity.2,wind_speed.2,AQI.2,AQI.3
0.105241772,0.256727558,0,0.311713456,0.105241772,0.584634226,0.362718407,0.372421921,0,0.428848015,0.362718407,0.653459369,0.235363378,0.469652328,0,0.414327202,0.235363378,0.8043917,55.21296296
0.362718407,0.372421921,0,0.428848015,0.362718407,0.653459369,0.234741975,0.469652328,0,0.414327202,0.234741975,0.8043917,0.34591961,0.486937733,0.022687609,0.624394966,0.34591961,0.564107429,58.60869565
0.234741975,0.469652328,0,0.414327202,0.234741975,0.8043917,0.345388054,0.486937733,0.022687609,0.624394966,0.345388054,0.564107429,0.195249695,0.455509723,0.013961606,0.771539206,0.195249695,0.602063629,42.88419913
0.345388054,0.486937733,0.022687609,0.624394966,0.345388054,0.564107429,0.194595693,0.455509723,0.013961606,0.771539206,0.194595693,0.602063629,0.141900122,0.517580043,0,0.708615682,0.141900122,0.426301227,22.18614719
0.194595693,0.455509723,0.013961606,0.771539206,0.194595693,0.602063629,0.141202763,0.517580043,0,0.708615682,0.141202763,0.426301227,0.123020706,0.117462188,0.038394415,0.715392062,0.123020706,0.194946326,45.18398268
0.141202763,0.517580043,0,0.708615682,0.141202763,0.426301227,0.122308005,0.117462188,0.038394415,0.715392062,0.122308005,0.194946326,0.000812018,0,0,0.268151016,0.000812018,0.452007327,34.44381705
0.122308005,0.117462188,0.038394415,0.715392062,0.122308005,0.194946326,0,0,0,0.268151016,0,0.452007327,0.109419407,0.084069927,0,0.262342691,0.109419407,0.331957867,29.35606061
0,0,0,0.268151016,0,0.452007327,0.108695652,0.084069927,0,0.262342691,0.108695652,0.331957867,0.131546894,0.29090552,0,0.307841239,0.131546894,0.275088874,33.00865801
0.108695652,0.084069927,0,0.262342691,0.108695652,0.331957867,0.130841121,0.29090552,0,0.307841239,0.130841121,0.275088874,0.080998782,0.286780593,0,0.693126815,0.080998782,0.315916209,58.23765432
0.130841121,0.29090552,0,0.307841239,0.130841121,0.275088874,0.08025193,0.286780593,0,0.693126815,0.08025193,0.315916209,0.564758425,0.412099784,0,0.581800581,0.564758425,0.597916271,76.49382716
0.08025193,0.286780593,0,0.693126815,0.08025193,0.315916209,0.564404714,0.412099784,0,0.581800581,0.564404714,0.597916271,0.258018676,0.327047731,0.005235602,0.800580833,0.258018676,0.801976782,63.79388084
0.564404714,0.412099784,0,0.581800581,0.564404714,0.597916271,0.257415685,0.327047731,0.005235602,0.800580833,0.257415685,0.801976782,0.092773041,0.334708309,0,0.623426912,0.092773041,0.660021644,36.66125541
0.257415685,0.327047731,0.005235602,0.800580833,0.257415685,0.801976782,0.092035758,0.334708309,0,0.623426912,0.092035758,0.660021644,0.099675193,0.529365547,0,0.465634076,0.099675193,0.356743545,72.38888889
0.092035758,0.334708309,0,0.623426912,0.092035758,0.660021644,0.098943519,0.529365547,0,0.465634076,0.098943519,0.356743545,0.232115307,0.544490277,0,0.425943853,0.232115307,0.756093354,60.18209877
0.098943519,0.529365547,0,0.465634076,0.098943519,0.356743545,0.231491264,0.544490277,0,0.425943853,0.231491264,0.756093354,0.10272026,0.526419171,0,0.542110358,0.10272026,0.619650527,38.66587957
0.231491264,0.544490277,0,0.425943853,0.231491264,0.756093354,0.101991061,0.526419171,0,0.542110358,0.101991061,0.619650527,0.047909054,0.351993714,0,0.788964182,0.047909054,0.379150466,70.12037037
0.101991061,0.526419171,0,0.542110358,0.101991061,0.619650527,0.047135311,0.351993714,0,0.788964182,0.047135311,0.379150466,0.572878603,0.467491652,0,0.689254598,0.572878603,0.730736722,62.2345679
